"","id_turma","discente","media_final","descricao","letivo","nome_docente","qtd_discentes","postura_profissional_media","postura_profissional_DP","atuacao_profissional_media","atuacao_profissional_DP","autoavaliacao_aluno_media","autoavaliacao_aluno_DP"
"13207",57576589,"1deed8f21a895fa8446751ffd0b079f6","0","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13212",57576589,"23546cd0e71e599241b81b3e482e79a3","3","CANCELADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13213",57576589,"23546cd0e71e599241b81b3e482e79a3","3","CANCELADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13218",57576589,"263b538e5e0beb5b381cb30ac69e7856","5","APROVADO POR NOTA",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13219",57576589,"263b538e5e0beb5b381cb30ac69e7856","5","APROVADO POR NOTA",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13224",57576589,"bb08f985540d1d45c21123066e5203e3","1","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13225",57576589,"bb08f985540d1d45c21123066e5203e3","1","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13230",57576589,"c41d56b9bc26904ee21d5f8ccef01fec","0,9","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13231",57576589,"c41d56b9bc26904ee21d5f8ccef01fec","0,9","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13236",57576589,"591e0a91c6842d4aff9c0480f5d102fc","3,2","CANCELADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13237",57576589,"591e0a91c6842d4aff9c0480f5d102fc","3,2","CANCELADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13242",57576589,"19efe9e743b4eeef1c52c4bd43550fda","8,2","APROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13243",57576589,"19efe9e743b4eeef1c52c4bd43550fda","8,2","APROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13248",57576589,"6a8925ae2176f3edcc5afcc036322702","0,1","CANCELADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13249",57576589,"6a8925ae2176f3edcc5afcc036322702","0,1","CANCELADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13254",57576589,"a71d94aaae56f3d02383490a8d7e27fd","0","EXCLUIDA",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13255",57576589,"a71d94aaae56f3d02383490a8d7e27fd","0","EXCLUIDA",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13260",57576589,"ce813b6650ddcc472190b0c529da3e10","0","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13261",57576589,"ce813b6650ddcc472190b0c529da3e10","0","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13266",57576589,"09c26edd30a8316d28527444f3e0ed97","0","CANCELADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13267",57576589,"09c26edd30a8316d28527444f3e0ed97","0","CANCELADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13272",57576589,"c17a91c3a2f6e893c5782b3f0b18efe4","0","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13273",57576589,"c17a91c3a2f6e893c5782b3f0b18efe4","0","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13278",57576589,"b876bdfe28bc259cd3e85f5e05c073b7","0","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13279",57576589,"b876bdfe28bc259cd3e85f5e05c073b7","0","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13284",57576589,"b52d5dd99b5a63f58448a14aa4634d5c","0,3","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13285",57576589,"b52d5dd99b5a63f58448a14aa4634d5c","0,3","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13290",57576589,"841a4b19383a7b15a267e8f02035e7bc","1,5","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13291",57576589,"841a4b19383a7b15a267e8f02035e7bc","1,5","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13296",57576589,"90dc160e68fd9a2b10d14af791aa4377","0","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13297",57576589,"90dc160e68fd9a2b10d14af791aa4377","0","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13302",57576589,"7d7818081df3453ff670193d07c96732","4,5","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13303",57576589,"7d7818081df3453ff670193d07c96732","4,5","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13308",57576589,"34ebdeb15e47db458796670ce310a1cb","0,5","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13309",57576589,"34ebdeb15e47db458796670ce310a1cb","0,5","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13314",57576589,"a8d5ecfa0ebc8c6499461c0cf211114c","2,2","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13315",57576589,"a8d5ecfa0ebc8c6499461c0cf211114c","2,2","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13320",57576589,"24639ba86aa8be3527cfd77ff6d44994","0","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13321",57576589,"24639ba86aa8be3527cfd77ff6d44994","0","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13326",57576589,"9de2ccfa9d7ed67f4a254a56d2d1237e","0,8","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13327",57576589,"9de2ccfa9d7ed67f4a254a56d2d1237e","0,8","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13332",57576589,"d3e0ce14a4c04f62b08b60df73fd7de1","0","CANCELADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13333",57576589,"d3e0ce14a4c04f62b08b60df73fd7de1","0","CANCELADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13338",57576589,"7ca4146947a0cbbc252833b4ed6afc72","0","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13339",57576589,"7ca4146947a0cbbc252833b4ed6afc72","0","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13344",57576589,"471a19c63e0c293ccce47ac9796d7605","1,5","REPROVADO",20161,"ANTONIO IGOR SILVA DE OLIVEIRA",33,9.81,0.63,7.97,3.01,6.71,3.36
"13345",57576589,"471a19c63e0c293ccce47ac9796d7605","1,5","REPROVADO",20161,"PAULO ROBERTO BELTRAO MAIA",33,9.54,0.83,7.8,2.71,6.5,3.46
"13494",57576595,"665f93b53c1284af487a652b8cbfc355","0,7","REPROVADO POR MÉDIA E POR FALTAS",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13497",57576595,"6175bb41ff32f3c576f591ead25109e7","8,2","APROVADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13500",57576595,"886b6eaab159946c5983a856c6dcc169","3,7","CANCELADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13503",57576595,"d8b4cea6531f286d087ec97f194fcaf5","0,9","REPROVADO POR MÉDIA E POR FALTAS",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13506",57576595,"7fd2c9506a5858c50af277c2f07c7228","0,9","REPROVADO POR MÉDIA E POR FALTAS",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13509",57576595,"ec5e51b4607323f4496b70d8272de235","0,2","REPROVADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13512",57576595,"36e2211c6c16fa38f1e7fef99b10d22f","4,2","REPROVADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13515",57576595,"a71d94aaae56f3d02383490a8d7e27fd","1,8","REPROVADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13518",57576595,"ce813b6650ddcc472190b0c529da3e10","0,2","REPROVADO POR MÉDIA E POR FALTAS",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13521",57576595,"77a43ed614cc74eb6b124a0d94f53fa8","1,1","REPROVADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13524",57576595,"b79c01c95fec207fe61e036ad42e8d3a","8,6","APROVADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13527",57576595,"09c26edd30a8316d28527444f3e0ed97","0,7","CANCELADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13530",57576595,"b876bdfe28bc259cd3e85f5e05c073b7","1,5","REPROVADO POR MÉDIA E POR FALTAS",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13533",57576595,"19bcd5d16d37a592ac72a12c2e038f96","0,3","CANCELADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13536",57576595,"442b499aa5e4e56978794323fe1803da","0,7","REPROVADO POR MÉDIA E POR FALTAS",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13539",57576595,"9f9cb2c52de7733782ab559ac58fd464","1,3","REPROVADO POR MÉDIA E POR FALTAS",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13542",57576595,"d265fb9f34d7bb9e54794f1ae76f21f0","0","CANCELADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13545",57576595,"1660535d398aa2e7f6716803b81aaaf7","5,6","APROVADO POR NOTA",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13548",57576595,"90dc160e68fd9a2b10d14af791aa4377","0,5","REPROVADO POR MÉDIA E POR FALTAS",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13551",57576595,"5e00d1e6f59bcd87426d99fd4204d107","4,3","REPROVADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13554",57576595,"a1dc8d33f283c91ae47a7fe7d49d34a6","1,5","CANCELADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13557",57576595,"24639ba86aa8be3527cfd77ff6d44994","0,4","REPROVADO POR MÉDIA E POR FALTAS",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13560",57576595,"116029d883890ff18268c633223e1048","0","CANCELADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13563",57576595,"726fb2164f8230c8d42ac37c3f966ff1","0,2","REPROVADO POR MÉDIA E POR FALTAS",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13566",57576595,"dfd78205f006fd6cabce1809b84e1ccf","0,7","CANCELADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13569",57576595,"7ca4146947a0cbbc252833b4ed6afc72","1","REPROVADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13572",57576595,"11fa855f1fa0903a2a3f7a5ba864977a","2,1","REPROVADO",20161,"CARLOS PROLO",42,9.84,0.59,8.26,2.72,7.28,3.46
"13575",57579997,"16a900c85457117fb949f9a75ca71fd8","7,2","APROVADO",20161,"CARLA DA COSTA FERNANDES CURVELO",14,9.56,0.81,9.17,1.78,8.52,2.71
"13578",57576531,"ce813b6650ddcc472190b0c529da3e10","0,2","REPROVADO",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13581",57576531,"886b6eaab159946c5983a856c6dcc169","1","CANCELADO",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13584",57576531,"3f5f85e1e90d3652f59fc8d9193ede72","2,7","REPROVADO POR MÉDIA E POR FALTAS",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13587",57576531,"09c26edd30a8316d28527444f3e0ed97","0","CANCELADO",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13590",57576531,"c17a91c3a2f6e893c5782b3f0b18efe4","0,2","REPROVADO POR MÉDIA E POR FALTAS",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13593",57576531,"90dc160e68fd9a2b10d14af791aa4377","0,3","REPROVADO POR MÉDIA E POR FALTAS",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13596",57576531,"24639ba86aa8be3527cfd77ff6d44994","0","REPROVADO POR MÉDIA E POR FALTAS",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13599",57576531,"9de2ccfa9d7ed67f4a254a56d2d1237e","0,3","REPROVADO POR MÉDIA E POR FALTAS",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13602",57576531,"dfd78205f006fd6cabce1809b84e1ccf","0","CANCELADO",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13605",57576531,"d3e0ce14a4c04f62b08b60df73fd7de1","0,2","CANCELADO",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13608",57576531,"b876bdfe28bc259cd3e85f5e05c073b7","6","APROVADO POR NOTA",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13611",57576531,"442b499aa5e4e56978794323fe1803da","0,3","REPROVADO POR MÉDIA E POR FALTAS",20161,"ANDRE MAURICIO CUNHA CAMPOS",18,9.71,0.83,8.3,3.11,7.89,2.65
"13614",57585698,"b51d70b9b89669c237654ae4bce7138f","6,3","APROVADO POR NOTA",20162,"SEBASTIAO GOMES DE ANDRADE NETO",122,8.91,1.46,8.34,2.27,8.09,2.67
"13615",57585698,"b51d70b9b89669c237654ae4bce7138f","6,3","APROVADO POR NOTA",20162,"LORENA RAMOS CORREIA CARDOSO",122,9.72,0.56,8.93,1.48,8.18,2.58
"13626",57586844,"9c8c21e07fb93342e39e3564779181cb","9,7","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13629",57586844,"b9c4d0adc55c78cfa8218eff023f3c47","0,7","REPROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13632",57586844,"b84571ff45833326f6ac81cc17c91db9","5","APROVADO POR NOTA",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13635",57586844,"9d8dcee687180154493648b599a313c3","5","APROVADO POR NOTA",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13638",57586844,"b1c23d852f313852dd316ca9dbd20743","6,9","APROVADO POR NOTA",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13641",57586844,"a9009f3acdfa692fcbc2285b98494ab9","9,2","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13644",57586844,"be65e8701a7ddf14398bcd21b5c65fdf","9,7","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13647",57586844,"4e2d113c8863de54bfcd5b4dcfa57515","10","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13650",57586844,"b6767ef52542038be9e22037d4c88a2c","10","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13653",57586844,"29b10522d4aa554c31df491e96a7c3c1","5","APROVADO POR NOTA",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13656",57586844,"ee54a811207762505053d2b11cbe789a","5","APROVADO POR NOTA",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13659",57586844,"7f29002f453680dc43655a41b48b7b78","10","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13662",57586844,"266fccea14a24e789e61aef49b0383f2","0,5","CANCELADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13665",57586844,"7e5e6d2ddb2fe10565ba8a92a472bb7c","9","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13668",57586844,"4c075318c6bd8020449dc0a04d5d796b","10","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13671",57586844,"fae6784fd8581f61d59837212d345dec","6,9","APROVADO POR NOTA",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",26,9.58,0.73,9.61,0.97,8.87,1.85
"13674",57586846,"a16ed96ee765c2ec436358814f6bc646","8,2","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",11,10,0,9.78,0.72,8.46,2.37
"13677",57586846,"66895f4defa2e74cb3292694c6f5788a","8,6","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",11,10,0,9.78,0.72,8.46,2.37
"13680",57586846,"f2e563b162d47b0f3e651d0444d7908a","2,5","REPROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",11,10,0,9.78,0.72,8.46,2.37
"13683",57586846,"6065980f00ac87d339c155c33f4dae68","9,4","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",11,10,0,9.78,0.72,8.46,2.37
"13686",57586846,"939a73420a9919237534140703f85bad","8,2","APROVADO",20162,"IVANOVITCH MEDEIROS DANTAS DA SILVA",11,10,0,9.78,0.72,8.46,2.37
"13689",57587406,"f73081dbc602040814c93189278982a8","6,5","APROVADO POR NOTA",20162,"HANDERSON BEZERRA MEDEIROS",9,9.08,1.16,8.73,1.92,8.36,2.29
"13692",57587406,"7f41fc087373a467c6f21abfa314ca62","0","CANCELADO",20162,"HANDERSON BEZERRA MEDEIROS",9,9.08,1.16,8.73,1.92,8.36,2.29
"13695",57587406,"cb75f724561edc0a0a2be38dfe95322c","0","REPROVADO",20162,"HANDERSON BEZERRA MEDEIROS",9,9.08,1.16,8.73,1.92,8.36,2.29
"13698",57587406,"2f3ddd3422eac41c4eab738d4796a813","7,6","APROVADO",20162,"HANDERSON BEZERRA MEDEIROS",9,9.08,1.16,8.73,1.92,8.36,2.29
"13701",57587406,"25d2bd21cd76c59793f8a006c03cf6b9","8,9","APROVADO",20162,"HANDERSON BEZERRA MEDEIROS",9,9.08,1.16,8.73,1.92,8.36,2.29
