"","id_turma","discente","media_final","descricao","letivo","nome_docente","qtd_discentes","postura_profissional_media","postura_profissional_DP","atuacao_profissional_media","atuacao_profissional_DP","autoavaliacao_aluno_media","autoavaliacao_aluno_DP"
"13704",57584812,"7dd9affbe1cd248b7780a97538664272","1,5","REPROVADO",20162,"DAMIAO NOBREGA DA SILVA",30,10,0,9.65,0.87,8.6,2.27
"13710",57586693,"876c9810d6f4b25797d73c942f55764e","1,3","REPROVADO",20162,"MARCIO EDUARDO KREUTZ",27,9.82,0.62,9.44,1.13,8.03,2.97
"13713",57586693,"2b7ba283f9cfce00d43239e9257b4a8e","2,5","REPROVADO",20162,"MARCIO EDUARDO KREUTZ",27,9.82,0.62,9.44,1.13,8.03,2.97
"13716",57586693,"9b475dd42613a111c6608052bf3ed567","7,4","APROVADO",20162,"MARCIO EDUARDO KREUTZ",27,9.82,0.62,9.44,1.13,8.03,2.97
"13719",57586693,"f5d92d4830c68497a8fb9d3c45b5021d","2,3","REPROVADO",20162,"MARCIO EDUARDO KREUTZ",27,9.82,0.62,9.44,1.13,8.03,2.97
"13722",57586693,"23098723b9dcb1e7ec6616f6b25a4da7","0","CANCELADO",20162,"MARCIO EDUARDO KREUTZ",27,9.82,0.62,9.44,1.13,8.03,2.97
"13725",57586693,"6b670cfa95d95f992859f4d4baafd986","8,4","APROVADO",20162,"MARCIO EDUARDO KREUTZ",27,9.82,0.62,9.44,1.13,8.03,2.97
"13728",57586693,"263337877cb5bbfb246858ae2ca2108e","2","CANCELADO",20162,"MARCIO EDUARDO KREUTZ",27,9.82,0.62,9.44,1.13,8.03,2.97
"13731",57586693,"f0c96f3d5662fb0014169ec39ff12cd3","9,1","APROVADO",20162,"MARCIO EDUARDO KREUTZ",27,9.82,0.62,9.44,1.13,8.03,2.97
"13734",57586693,"6c6b4c2a2b5eedece4db86db34894535","9,9","APROVADO",20162,"MARCIO EDUARDO KREUTZ",27,9.82,0.62,9.44,1.13,8.03,2.97
"13737",57586693,"b272979543ada0403e8901e0ba5b3ab7","6,5","APROVADO POR NOTA",20162,"MARCIO EDUARDO KREUTZ",27,9.82,0.62,9.44,1.13,8.03,2.97
"13740",57586693,"59c35b8b90d0b49b3ab59ffb2e4ccf45","8,2","APROVADO",20162,"MARCIO EDUARDO KREUTZ",27,9.82,0.62,9.44,1.13,8.03,2.97
"13743",57586672,"c82a950688b642b8071579c7be484071","6,5","APROVADO POR NOTA",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13746",57586672,"5a5d94d46b85d1bec85b6a0b0a0b826b","8","APROVADO",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13749",57586672,"a70e6e000686d82ad1d1a29ce75fab9f","6,3","APROVADO POR NOTA",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13752",57586672,"d2ebea0c1ebded5adcf2e6eb2d919b9a","9,9","APROVADO",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13755",57586672,"1a39bd4b4fed8cbbf0ecd42b4a4e71d7","8,2","APROVADO",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13758",57586672,"eb0426f8bad633a7efc8e87ed0edb540","5,5","APROVADO POR NOTA",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13761",57586672,"a7b3173c75751a516fc106a458d1eab7","5,1","APROVADO POR NOTA",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13764",57586672,"46ca5bcc0383d2734d26bf3bcc201b5a","7,4","APROVADO",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13767",57586672,"a9d5358e13241d1fc953196fa2983412","5,6","APROVADO POR NOTA",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13770",57586672,"7dd9affbe1cd248b7780a97538664272","7,9","APROVADO",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13773",57586672,"1466ecd847131bdaffb5fd79e487f3f5","6,1","APROVADO POR NOTA",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13776",57586672,"c9facdfcedfc62c2cc6503fa7092acdc","6","APROVADO POR NOTA",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13779",57586672,"36141338c1e785da44624b6e2fe77414","6","APROVADO POR NOTA",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13782",57586672,"9ae9cae416201847b56ffeba05092eb9","7,1","APROVADO",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13785",57586672,"403dd54cc256503f79cb1dcb641843e8","3,8","CANCELADO",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",38,9.45,1.2,9.44,1.17,8.51,2.36
"13788",57585792,"bbf4dc41420581ae29e6b1eb46bff36d","6,5","APROVADO POR NOTA",20162,"JOAO PAULO MATOS SANTOS LIMA",6,9.8,0.63,9.8,0.61,7.43,3.66
"13789",57585792,"bbf4dc41420581ae29e6b1eb46bff36d","6,5","APROVADO POR NOTA",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",6,9.9,0.32,9.45,1.2,7.11,3.86
"13794",57585792,"f73081dbc602040814c93189278982a8","7,7","APROVADO",20162,"JOAO PAULO MATOS SANTOS LIMA",6,9.8,0.63,9.8,0.61,7.43,3.66
"13795",57585792,"f73081dbc602040814c93189278982a8","7,7","APROVADO",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",6,9.9,0.32,9.45,1.2,7.11,3.86
"13800",57585792,"4066fec95cab6d5906687d8e1ca67a6e","5,1","APROVADO POR NOTA",20162,"JOAO PAULO MATOS SANTOS LIMA",6,9.8,0.63,9.8,0.61,7.43,3.66
"13801",57585792,"4066fec95cab6d5906687d8e1ca67a6e","5,1","APROVADO POR NOTA",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",6,9.9,0.32,9.45,1.2,7.11,3.86
"13824",57586348,"b51d70b9b89669c237654ae4bce7138f","0","TRANCADO",20162,"ROOSEWELT FONSECA SOARES",8,9.42,1,8.77,2.08,8.13,2.39
"13836",57586366,"617c2e34e148a00577d0efeda6edd8ec","3,3","REPROVADO",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13839",57586366,"3ed43166a12be54239ce6710538b9ae7","1,2","REPROVADO POR MÉDIA E POR FALTAS",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13842",57586366,"a2b2ef559d7913f7f419197a1beb2e8c","5,5","APROVADO POR NOTA",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13845",57586366,"b37ad79d4d3c65cfe3d232b9b462f128","1,4","REPROVADO",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13848",57586366,"2cfdb45d8d6f9d042d6e38a4d2f6f844","4,5","REPROVADO",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13851",57586366,"5ae28cd41b501ff35073a13dd1370d64","1,3","REPROVADO POR MÉDIA E POR FALTAS",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13854",57586366,"29b10522d4aa554c31df491e96a7c3c1","1,1","REPROVADO POR MÉDIA E POR FALTAS",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13857",57586366,"d6f516936b31fd59cfb141d6cab61534","0,9","CANCELADO",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13860",57586366,"8ac0038ac22bc02fbbd50f5716e63380","1,1","CANCELADO",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13863",57586366,"e8276e72614c5828286b43d50704d1a0","5,8","APROVADO POR NOTA",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13866",57586366,"cc364fa09dc14ded1d4ed507e2577f93","0","CANCELADO",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13869",57586366,"bd86caad99c6c1918116616f865ad2ba","4","REPROVADO",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13872",57586366,"a3447dfd4757895689db419306f43b65","2","REPROVADO",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13875",57586366,"3b199391b2bccc3e1fb8607c1869286c","4,8","REPROVADO",20162,"UMBERTO SOUZA DA COSTA",23,9.88,0.33,8.38,2.35,8.57,1.99
"13878",57586697,"685d382aceefa5031509c9bb87e613dd","7,6","APROVADO",20162,"UMBERTO SOUZA DA COSTA",16,10,0,9.75,1.06,9.13,2.36
"13881",57586697,"d624069cd2691821d497421eae79b0bc","2,4","CANCELADO",20162,"UMBERTO SOUZA DA COSTA",16,10,0,9.75,1.06,9.13,2.36
"13884",57586697,"7222cefcaab460d529d77633b656ae14","5,4","APROVADO POR NOTA",20162,"UMBERTO SOUZA DA COSTA",16,10,0,9.75,1.06,9.13,2.36
"13887",57586697,"f73081dbc602040814c93189278982a8","0","TRANCADO",20162,"UMBERTO SOUZA DA COSTA",16,10,0,9.75,1.06,9.13,2.36
"13890",57586697,"d2ebea0c1ebded5adcf2e6eb2d919b9a","9,1","APROVADO",20162,"UMBERTO SOUZA DA COSTA",16,10,0,9.75,1.06,9.13,2.36
"13893",57586697,"f5d92d4830c68497a8fb9d3c45b5021d","5,3","APROVADO POR NOTA",20162,"UMBERTO SOUZA DA COSTA",16,10,0,9.75,1.06,9.13,2.36
"13896",57586697,"9ae9cae416201847b56ffeba05092eb9","5","APROVADO POR NOTA",20162,"UMBERTO SOUZA DA COSTA",16,10,0,9.75,1.06,9.13,2.36
"13899",57586697,"9efea005259578118f1537281d288a35","0","TRANCADO",20162,"UMBERTO SOUZA DA COSTA",16,10,0,9.75,1.06,9.13,2.36
"13902",57586697,"403dd54cc256503f79cb1dcb641843e8","2,9","CANCELADO",20162,"UMBERTO SOUZA DA COSTA",16,10,0,9.75,1.06,9.13,2.36
"13905",57585791,"bbf4dc41420581ae29e6b1eb46bff36d","5,3","APROVADO POR NOTA",20162,"JOAO PAULO MATOS SANTOS LIMA",16,9.93,0.27,9.86,0.52,7.71,3.35
"13906",57585791,"bbf4dc41420581ae29e6b1eb46bff36d","5,3","APROVADO POR NOTA",20162,"EUZEBIO GUIMARAES BARBOSA",16,10,0,9.88,0.33,7.88,3.38
"13907",57585791,"bbf4dc41420581ae29e6b1eb46bff36d","5,3","APROVADO POR NOTA",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",16,9.93,0.27,9.52,1.08,7.5,3.55
"13914",57585791,"baa5f641d88e653c6806ddb44d2f85d7","7,8","APROVADO",20162,"JOAO PAULO MATOS SANTOS LIMA",16,9.93,0.27,9.86,0.52,7.71,3.35
"13915",57585791,"baa5f641d88e653c6806ddb44d2f85d7","7,8","APROVADO",20162,"EUZEBIO GUIMARAES BARBOSA",16,10,0,9.88,0.33,7.88,3.38
"13916",57585791,"baa5f641d88e653c6806ddb44d2f85d7","7,8","APROVADO",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",16,9.93,0.27,9.52,1.08,7.5,3.55
